,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Birth Month
10,11,Ola Aina,NGA,DF,Nott'ham Forest,27.0,1996.0,13.8,1.0,7.0,1.0,14.3,0.51,0.07,0.14,1.0,26.8,0.0,0.0,0.0,0.2,0.2,0.03,0.8,0.8,Matches,March
11,12,Rayan Aït-Nouri,ALG,"DF,MF",Wolves,22.0,2001.0,21.2,2.0,20.0,6.0,30.0,0.94,0.28,0.1,0.33,16.0,0.0,0.0,0.0,3.1,3.1,0.15,-1.1,-1.1,Matches,October
12,13,Kristoffer Ajer,NOR,DF,Brentford,25.0,1998.0,17.4,2.0,9.0,3.0,33.3,0.52,0.17,0.22,0.67,9.5,0.0,0.0,0.0,1.1,1.1,0.13,0.9,0.9,Matches,September
13,14,Manuel Akanji,SUI,"DF,MF",Manchester City,28.0,1995.0,21.1,2.0,10.0,4.0,40.0,0.47,0.19,0.2,0.5,19.6,0.0,0.0,0.0,0.9,0.9,0.09,1.1,1.1,Matches,December
14,15,Nathan Aké,NED,DF,Manchester City,29.0,1995.0,19.5,2.0,19.0,5.0,26.3,0.98,0.26,0.11,0.4,10.9,0.0,0.0,0.0,2.1,2.1,0.11,-0.1,-0.1,Matches,July
15,16,Thiago Alcántara,ESP,MF,Liverpool,32.0,1991.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,September
16,17,Trent Alexander-Arnold,ENG,DF,Liverpool,25.0,1998.0,18.0,2.0,30.0,4.0,13.3,1.66,0.22,0.07,0.5,24.2,3.0,0.0,0.0,1.8,1.5,0.05,0.2,0.5,Matches,March
17,18,Alisson,BRA,GK,Liverpool,31.0,1992.0,21.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,March
18,19,Miguel Almirón,PAR,FW,Newcastle Utd,30.0,1994.0,20.5,3.0,40.0,11.0,27.5,1.95,0.54,0.08,0.27,16.3,0.0,0.0,0.0,4.5,4.5,0.11,-1.5,-1.5,Matches,July
19,20,Edson Álvarez,MEX,MF,West Ham,26.0,1997.0,22.9,1.0,17.0,3.0,17.6,0.74,0.13,0.06,0.33,21.1,0.0,0.0,0.0,1.3,1.3,0.08,-0.3,-0.3,Matches,March
20,21,Julián Álvarez,ARG,"MF,FW",Manchester City,24.0,2000.0,26.2,8.0,85.0,33.0,38.8,3.24,1.26,0.08,0.21,17.9,13.0,1.0,1.0,10.7,10.0,0.12,-2.7,-3.0,Matches,June
21,22,Zeki Amdouni,SUI,FW,Burnley,23.0,2000.0,20.3,4.0,41.0,21.0,51.2,2.02,1.03,0.1,0.19,17.0,0.0,0.0,0.0,4.4,4.4,0.11,-0.4,-0.4,Matches,April
22,23,Sofyan Amrabat,MAR,"MF,DF",Manchester Utd,27.0,1996.0,7.2,0.0,2.0,0.0,0.0,0.28,0.0,0.0,,23.7,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,Matches,January
23,24,Joachim Andersen,DEN,DF,Crystal Palace,27.0,1996.0,31.0,2.0,19.0,8.0,42.1,0.61,0.26,0.11,0.25,13.4,1.0,0.0,0.0,1.3,1.3,0.07,0.7,0.7,Matches,October
24,25,Elliot Anderson,SCO,"MF,FW",Newcastle Utd,21.0,2002.0,6.5,0.0,8.0,2.0,25.0,1.22,0.31,0.0,0.0,15.0,0.0,0.0,0.0,0.8,0.8,0.1,-0.8,-0.8,Matches,March
25,Rk,Player,N,Pos,Squad,,,,,,,,,,,,,,,,,,,,,Matches,
26,26,Jaidon Anthony,ENG,FW,Bournemouth,24.0,1999.0,1.7,0.0,2.0,1.0,50.0,1.18,0.59,0.0,0.0,24.5,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,Matches,April
27,27,Michail Antonio,JAM,FW,West Ham,34.0,1990.0,13.6,4.0,21.0,10.0,47.6,1.54,0.73,0.19,0.4,14.0,0.0,0.0,0.0,3.8,3.8,0.18,0.2,0.2,Matches,September
28,28,Antony,BRA,FW,Manchester Utd,24.0,2000.0,12.2,0.0,31.0,7.0,22.6,2.54,0.57,0.0,0.0,19.3,0.0,0.0,0.0,1.7,1.7,0.05,-1.7,-1.7,Matches,July
29,29,Oliver Arblaster,ENG,MF,Sheffield Utd,19.0,2004.0,4.1,0.0,1.0,1.0,100.0,0.24,0.24,0.0,0.0,16.6,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,Matches,September
30,30,Cameron Archer,ENG,"FW,MF",Sheffield Utd,22.0,2001.0,16.1,4.0,29.0,7.0,24.1,1.8,0.43,0.14,0.57,16.2,0.0,0.0,0.0,3.9,3.9,0.14,0.1,0.1,Matches,December
31,31,Cameron Archer,ENG,MF,Aston Villa,22.0,2001.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,December
32,32,Alphonse Areola,FRA,GK,West Ham,31.0,1993.0,26.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,July
33,33,Lorenz Assignon,TOG,DF,Burnley,23.0,2000.0,8.2,0.0,2.0,0.0,0.0,0.24,0.0,0.0,,22.4,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,Matches,November
34,34,Serge Aurier,CIV,"DF,MF",Nott'ham Forest,31.0,1992.0,9.3,0.0,6.0,1.0,16.7,0.65,0.11,0.0,0.0,16.0,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,Matches,May
35,35,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,26.0,1997.0,11.4,6.0,22.0,11.0,50.0,1.93,0.97,0.27,0.55,11.5,0.0,0.0,0.0,4.7,4.7,0.22,1.3,1.3,Matches,January
36,36,Jordan Ayew,GHA,"FW,MF",Crystal Palace,32.0,1991.0,26.0,4.0,45.0,17.0,37.8,1.73,0.65,0.09,0.24,17.5,0.0,0.0,0.0,3.8,3.8,0.08,0.2,0.2,Matches,February
37,37,Benoît Badiashile,FRA,DF,Chelsea,23.0,2001.0,8.2,0.0,3.0,1.0,33.3,0.36,0.12,0.0,0.0,11.0,0.0,0.0,0.0,0.2,0.2,0.06,-0.2,-0.2,Matches,August
38,38,Leon Bailey,JAM,"MF,FW",Aston Villa,26.0,1997.0,18.9,8.0,47.0,15.0,31.9,2.49,0.8,0.17,0.53,17.0,1.0,0.0,0.0,4.8,4.8,0.1,3.2,3.2,Matches,January
39,39,George Baldock,GRE,DF,Sheffield Utd,31.0,1993.0,10.8,0.0,1.0,0.0,0.0,0.09,0.0,0.0,,22.2,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,Matches,August
40,40,Carlos Baleba,CMR,MF,Brighton,20.0,2004.0,11.5,0.0,16.0,3.0,18.8,1.39,0.26,0.0,0.0,24.3,0.0,0.0,0.0,0.7,0.7,0.04,-0.7,-0.7,Matches,May
41,41,Fodé Ballo-Touré,SEN,"DF,MF",Fulham,27.0,1997.0,0.6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,May
42,42,Shandon Baptiste,GRN,MF,Brentford,26.0,1998.0,2.5,1.0,2.0,2.0,100.0,0.79,0.79,0.5,0.5,6.6,0.0,0.0,0.0,0.9,0.9,0.45,0.1,0.1,Matches,September
43,43,Valentín Barco,ARG,DF,Brighton,19.0,2004.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,December
44,44,Ross Barkley,ENG,MF,Luton Town,30.0,1993.0,24.8,4.0,61.0,16.0,26.2,2.46,0.64,0.07,0.25,21.8,6.0,0.0,0.0,3.8,3.8,0.06,0.2,0.2,Matches,May
45,45,Harvey Barnes,ENG,FW,Newcastle Utd,26.0,1997.0,5.6,4.0,19.0,9.0,47.4,3.42,1.62,0.21,0.44,17.5,0.0,0.0,0.0,2.6,2.6,0.13,1.4,1.4,Matches,May
46,46,Chris Basham,ENG,"DF,MF",Sheffield Utd,35.0,1988.0,3.6,0.0,2.0,0.0,0.0,0.56,0.0,0.0,,10.8,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,Matches,December
47,47,Calvin Bassey,NGA,DF,Fulham,24.0,1999.0,19.6,1.0,5.0,1.0,20.0,0.26,0.05,0.2,1.0,10.1,0.0,0.0,0.0,0.3,0.3,0.07,0.7,0.7,Matches,May
48,48,Owen Beck,WAL,DF,Liverpool,21.0,2002.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,December
49,49,Donny van de Beek,NED,DF,Manchester Utd,26.0,1997.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0,,16.1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,Matches,September
50,50,Amari'i Bell,JAM,DF,Luton Town,29.0,1994.0,19.1,0.0,2.0,2.0,100.0,0.1,0.1,0.0,0.0,18.8,0.0,0.0,0.0,0.3,0.3,0.13,-0.3,-0.3,Matches,October
51,Rk,Player,N,Pos,Squad,,,,,,,,,,,,,,,,,,,,,Matches,
52,51,Jean-Ricner Bellegarde,FRA,"MF,FW",Wolves,25.0,1998.0,9.0,2.0,14.0,5.0,35.7,1.56,0.56,0.14,0.4,17.2,0.0,0.0,0.0,1.4,1.4,0.1,0.6,0.6,Matches,November
53,52,Anis Ben Slimane,TUN,MF,Sheffield Utd,23.0,2001.0,4.1,0.0,6.0,3.0,50.0,1.46,0.73,0.0,0.0,18.6,0.0,0.0,0.0,0.7,0.7,0.11,-0.7,-0.7,Matches,August
54,53,Saïd Benrahma,ALG,"FW,MF",West Ham,28.0,1995.0,6.9,0.0,18.0,5.0,27.8,2.61,0.73,0.0,0.0,19.8,0.0,0.0,1.0,1.8,1.0,0.06,-1.8,-1.0,Matches,January
55,54,Rodrigo Bentancur,URU,MF,Tottenham,26.0,1997.0,7.5,1.0,11.0,2.0,18.2,1.48,0.27,0.09,0.5,15.1,0.0,0.0,0.0,1.1,1.1,0.1,-0.1,-0.1,Matches,November
56,55,Daniel Bentley,ENG,GK,Wolves,30.0,1993.0,3.3,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,December
57,56,Jóhann Berg Guðmundsson,ISL,MF,Burnley,33.0,1990.0,12.0,0.0,10.0,3.0,30.0,0.83,0.25,0.0,0.0,15.3,1.0,0.0,0.0,0.9,0.9,0.09,-0.9,-0.9,Matches,April
58,57,Sander Berge,NOR,MF,Burnley,26.0,1998.0,27.4,1.0,22.0,3.0,13.6,0.8,0.11,0.05,0.33,16.4,0.0,0.0,0.0,1.8,1.8,0.08,-0.8,-0.8,Matches,July
59,58,Luke Berry,ENG,"MF,DF",Luton Town,31.0,1992.0,1.9,1.0,4.0,1.0,25.0,2.13,0.53,0.25,1.0,9.9,0.0,0.0,0.0,0.5,0.5,0.13,0.5,0.5,Matches,December
60,59,Beto,GNB,FW,Everton,26.0,1998.0,9.2,3.0,37.0,10.0,27.0,4.03,1.09,0.08,0.3,15.0,0.0,0.0,1.0,5.5,4.7,0.13,-2.5,-1.7,Matches,June
61,60,Jordan Beyer,GER,DF,Burnley,23.0,2000.0,13.7,0.0,5.0,0.0,0.0,0.36,0.0,0.0,,8.2,0.0,0.0,0.0,0.5,0.5,0.1,-0.5,-0.5,Matches,October
62,61,Philip Billing,DEN,MF,Bournemouth,27.0,1996.0,14.9,2.0,29.0,8.0,27.6,1.95,0.54,0.07,0.25,20.4,7.0,0.0,0.0,2.4,2.4,0.08,-0.4,-0.4,Matches,November
63,62,Yves Bissouma,MLI,MF,Tottenham,27.0,1996.0,19.5,0.0,23.0,5.0,21.7,1.18,0.26,0.0,0.0,25.0,1.0,0.0,0.0,1.4,1.4,0.06,-1.4,-1.4,Matches,January
64,63,Benicio Boaitey,ENG,"DF,FW",Brighton,20.0,2004.0,0.2,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,May
65,64,Oscar Bobb,NOR,"FW,MF",Manchester City,20.0,2003.0,3.1,1.0,4.0,1.0,25.0,1.28,0.32,0.25,1.0,11.1,0.0,0.0,0.0,1.4,1.4,0.35,-0.4,-0.4,Matches,November
66,65,Jayden Bogle,ENG,DF,Sheffield Utd,23.0,2000.0,24.3,2.0,23.0,8.0,34.8,0.95,0.33,0.09,0.25,16.6,0.0,0.0,0.0,1.6,1.6,0.07,0.4,0.4,Matches,December
67,66,Willy Boly,CIV,DF,Nott'ham Forest,33.0,1991.0,12.1,1.0,12.0,5.0,41.7,1.0,0.41,0.08,0.2,10.6,0.0,0.0,0.0,1.3,1.3,0.11,-0.3,-0.3,Matches,July
68,67,Sven Botman,NED,DF,Newcastle Utd,24.0,2000.0,15.3,2.0,10.0,2.0,20.0,0.65,0.13,0.2,1.0,10.5,0.0,0.0,0.0,0.6,0.6,0.06,1.4,1.4,Matches,June
69,68,Jarrod Bowen,ENG,FW,West Ham,27.0,1996.0,30.5,15.0,70.0,32.0,45.7,2.29,1.05,0.21,0.47,14.1,0.0,0.0,0.0,9.7,9.7,0.14,5.3,5.3,Matches,May
70,69,Conor Bradley,NIR,DF,Liverpool,20.0,2003.0,7.6,1.0,12.0,4.0,33.3,1.57,0.52,0.08,0.25,17.3,0.0,0.0,0.0,0.9,0.9,0.07,0.1,0.1,Matches,November
71,70,Jarrad Branthwaite,ENG,DF,Everton,21.0,2002.0,28.0,2.0,9.0,3.0,33.3,0.32,0.11,0.22,0.67,13.7,0.0,0.0,0.0,1.4,1.4,0.16,0.6,0.6,Matches,November
72,71,Ben Brereton,CHI,"FW,MF",Sheffield Utd,24.0,1999.0,5.5,4.0,11.0,7.0,63.6,2.0,1.27,0.36,0.57,13.3,0.0,0.0,0.0,2.4,2.4,0.22,1.6,1.6,Matches,September
73,72,Rhian Brewster,ENG,"FW,MF",Sheffield Utd,24.0,2000.0,3.4,0.0,6.0,3.0,50.0,1.76,0.88,0.0,0.0,23.7,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,Matches,August
74,73,Armando Broja,ALB,FW,Chelsea,22.0,2001.0,5.0,1.0,13.0,2.0,15.4,2.58,0.4,0.08,0.5,11.1,0.0,0.0,0.0,2.4,2.4,0.18,-1.4,-1.4,Matches,January
75,74,Armando Broja,ALB,FW,Fulham,22.0,2001.0,0.6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,January
76,75,Andre Brooks,ENG,"MF,DF",Sheffield Utd,20.0,2003.0,7.4,0.0,5.0,1.0,20.0,0.68,0.14,0.0,0.0,20.6,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2,Matches,January
77,Rk,Player,N,Pos,Squad,,,,,,,,,,,,,,,,,,,,,Matches,
78,76,David Brooks,WAL,"FW,MF",Bournemouth,26.0,1997.0,3.1,1.0,13.0,5.0,38.5,4.15,1.6,0.08,0.2,17.4,0.0,0.0,0.0,2.2,2.2,0.17,-1.2,-1.2,Matches,December
79,77,Jacob Brown,SCO,"MF,FW",Luton Town,25.0,1998.0,11.3,2.0,26.0,6.0,23.1,2.3,0.53,0.08,0.33,14.1,0.0,0.0,0.0,2.8,2.8,0.11,-0.8,-0.8,Matches,September
80,78,Josh Brownhill,ENG,MF,Burnley,28.0,1995.0,23.3,3.0,25.0,9.0,36.0,1.07,0.39,0.12,0.33,20.6,0.0,0.0,0.0,1.6,1.6,0.06,1.4,1.4,Matches,May
81,79,Jacob Bruun Larsen,DEN,"MF,FW",Burnley,25.0,1998.0,9.4,4.0,29.0,9.0,31.0,3.07,0.95,0.1,0.33,20.4,9.0,1.0,1.0,3.6,2.8,0.1,0.4,0.2,Matches,February
82,80,Hugo Bueno,ESP,"DF,MF",Wolves,21.0,2002.0,5.9,0.0,4.0,0.0,0.0,0.68,0.0,0.0,,17.3,0.0,0.0,0.0,0.2,0.2,0.06,-0.2,-0.2,Matches,February
83,81,Santiago Bueno,URU,DF,Wolves,25.0,1998.0,5.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,April
84,82,Facundo Buonanotte,ARG,"FW,MF",Brighton,19.0,2004.0,11.8,3.0,18.0,7.0,38.9,1.52,0.59,0.17,0.43,17.6,0.0,0.0,0.0,2.0,2.0,0.11,1.0,1.0,Matches,May
85,83,Reece Burke,ENG,DF,Luton Town,27.0,1996.0,14.0,0.0,12.0,3.0,25.0,0.86,0.21,0.0,0.0,13.4,0.0,0.0,0.0,1.3,1.3,0.13,-1.3,-1.3,Matches,January
86,84,Dan Burn,ENG,DF,Newcastle Utd,31.0,1992.0,23.3,2.0,17.0,5.0,29.4,0.73,0.21,0.12,0.4,8.8,0.0,0.0,0.0,2.5,2.5,0.16,-0.5,-0.5,Matches,October
87,85,Mason Burstow,ENG,FW,Chelsea,20.0,2003.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,December
88,86,Moisés Caicedo,ECU,MF,Chelsea,22.0,2001.0,24.1,0.0,8.0,1.0,12.5,0.33,0.04,0.0,0.0,26.1,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,Matches,March
89,87,Tom Cairney,SCO,MF,Fulham,33.0,1991.0,15.4,1.0,15.0,6.0,40.0,0.97,0.39,0.07,0.17,20.4,0.0,0.0,0.0,1.0,1.0,0.07,0.0,0.0,Matches,June
90,88,Dominic Calvert-Lewin,ENG,FW,Everton,27.0,1997.0,19.8,5.0,59.0,21.0,35.6,2.97,1.06,0.07,0.19,12.9,0.0,1.0,1.0,10.9,10.1,0.17,-5.9,-6.1,Matches,August
91,89,Thomas Cannon,IRL,FW,Everton,21.0,2002.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,May
92,90,Diego Carlos,BRA,DF,Aston Villa,31.0,1993.0,16.0,0.0,7.0,1.0,14.3,0.44,0.06,0.0,0.0,8.3,0.0,0.0,0.0,0.9,0.9,0.13,-0.9,-0.9,Matches,August
93,91,Cesare Casadei,ITA,"MF,FW",Chelsea,21.0,2003.0,0.2,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,May
94,92,Casemiro,BRA,MF,Manchester Utd,32.0,1992.0,15.0,1.0,28.0,6.0,21.4,1.86,0.4,0.04,0.17,17.1,1.0,0.0,0.0,2.7,2.7,0.1,-1.7,-1.7,Matches,July
95,93,Matty Cash,POL,DF,Aston Villa,26.0,1997.0,21.1,2.0,31.0,13.0,41.9,1.47,0.62,0.06,0.15,15.4,0.0,0.0,0.0,4.1,4.1,0.14,-2.1,-2.1,Matches,January
96,94,Timothy Castagne,BEL,DF,Fulham,28.0,1995.0,24.3,0.0,12.0,3.0,25.0,0.49,0.12,0.0,0.0,11.4,0.0,0.0,0.0,1.4,1.4,0.12,-1.4,-1.4,Matches,May
97,95,Jonny Castro,ESP,MF,Wolves,30.0,1994.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,August
98,96,Trevoh Chalobah,ENG,DF,Chelsea,24.0,1999.0,3.4,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,November
99,97,Calum Chambers,ENG,"DF,MF",Aston Villa,29.0,1995.0,0.8,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,June
100,98,Youssef Chermiti,POR,FW,Everton,19.0,2004.0,0.9,0.0,4.0,1.0,25.0,4.62,1.15,0.0,0.0,13.5,0.0,0.0,0.0,0.5,0.5,0.13,-0.5,-0.5,Matches,October
101,99,Ben Chilwell,ENG,DF,Chelsea,27.0,1996.0,8.3,0.0,11.0,3.0,27.3,1.33,0.36,0.0,0.0,16.7,1.0,0.0,0.0,1.2,1.2,0.11,-1.2,-1.2,Matches,May
102,100,Tawanda Chirewa,ENG,MF,Wolves,20.0,2003.0,0.4,0.0,1.0,0.0,0.0,2.43,0.0,0.0,,12.5,0.0,0.0,0.0,0.1,0.1,0.08,-0.1,-0.1,Matches,February
103,Rk,Player,N,Pos,Squad,,,,,,,,,,,,,,,,,,,,,Matches,
104,101,Leon Chiwome,ENG,FW,Wolves,18.0,2006.0,1.9,0.0,2.0,0.0,0.0,1.03,0.0,0.0,,11.2,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,Matches,May
105,102,Tahith Chong,NED,MF,Luton Town,24.0,1999.0,16.3,4.0,27.0,7.0,25.9,1.66,0.43,0.15,0.57,16.5,0.0,0.0,0.0,2.5,2.5,0.09,1.5,1.5,Matches,April
106,103,Ryan Christie,SCO,MF,Bournemouth,29.0,1995.0,26.3,0.0,33.0,12.0,36.4,1.25,0.46,0.0,0.0,19.8,0.0,0.0,0.0,1.6,1.6,0.05,-1.6,-1.6,Matches,July
107,104,Carney Chukwuemeka,ENG,"MF,FW",Chelsea,20.0,2003.0,2.3,1.0,3.0,2.0,66.7,1.3,0.87,0.33,0.5,19.9,0.0,0.0,0.0,0.2,0.2,0.05,0.8,0.8,Matches,March
108,105,Bobby Clark,ENG,MF,Liverpool,19.0,2005.0,1.0,0.0,2.0,0.0,0.0,2.02,0.0,0.0,,18.7,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1,Matches,June
109,106,Jordan Clark,ENG,MF,Luton Town,30.0,1993.0,10.6,1.0,12.0,3.0,25.0,1.14,0.28,0.08,0.33,15.5,0.0,0.0,0.0,0.8,0.8,0.07,0.2,0.2,Matches,February
110,107,Nathaniel Clyne,ENG,"DF,MF",Crystal Palace,33.0,1991.0,8.2,0.0,2.0,0.0,0.0,0.24,0.0,0.0,,23.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,Matches,September
111,108,Séamus Coleman,IRL,DF,Everton,35.0,1988.0,4.6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,March
112,109,Nathan Collins,IRL,DF,Brentford,22.0,2001.0,24.5,1.0,10.0,2.0,20.0,0.41,0.08,0.1,0.5,9.9,0.0,0.0,0.0,1.7,1.7,0.17,-0.7,-0.7,Matches,September
113,110,Levi Colwill,ENG,DF,Chelsea,21.0,2003.0,20.0,1.0,11.0,3.0,27.3,0.55,0.15,0.09,0.33,11.9,0.0,0.0,0.0,1.3,1.3,0.12,-0.3,-0.3,Matches,July
114,111,Lewis Cook,ENG,MF,Bournemouth,27.0,1997.0,24.0,0.0,10.0,3.0,30.0,0.42,0.13,0.0,0.0,22.9,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,Matches,July
115,112,Jack Cork,ENG,MF,Burnley,34.0,1989.0,0.2,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,November
116,113,Maxwel Cornet,CIV,"MF,FW",West Ham,27.0,1996.0,1.2,1.0,4.0,1.0,25.0,3.43,0.86,0.25,1.0,12.5,0.0,0.0,0.0,0.4,0.4,0.1,0.6,0.6,Matches,February
117,114,Vladimír Coufal,CZE,DF,West Ham,31.0,1992.0,29.0,0.0,4.0,1.0,25.0,0.14,0.03,0.0,0.0,21.7,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,Matches,January
118,115,Philippe Coutinho,BRA,"MF,FW",Aston Villa,31.0,1992.0,0.3,0.0,3.0,1.0,33.3,10.8,3.6,0.0,0.0,24.9,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,Matches,November
119,116,Aaron Cresswell,ENG,"DF,FW",West Ham,34.0,1989.0,3.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,May
120,117,Marc Cucurella,ESP,DF,Chelsea,25.0,1998.0,11.8,0.0,6.0,4.0,66.7,0.51,0.34,0.0,0.0,14.6,0.0,0.0,0.0,0.9,0.9,0.16,-0.9,-0.9,Matches,December
121,118,Josh Cullen,IRL,MF,Burnley,28.0,1996.0,17.0,1.0,10.0,3.0,30.0,0.59,0.18,0.1,0.33,24.8,0.0,0.0,0.0,0.3,0.3,0.03,0.7,0.7,Matches,September
122,119,Matheus Cunha,BRA,"FW,MF",Wolves,24.0,1999.0,22.4,9.0,60.0,30.0,50.0,2.68,1.34,0.13,0.27,18.5,0.0,1.0,1.0,8.2,7.4,0.12,0.8,0.6,Matches,October
123,120,Mahmoud Dahoud,GER,MF,Brighton,28.0,1996.0,5.0,0.0,6.0,1.0,16.7,1.19,0.2,0.0,0.0,26.8,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,Matches,May
124,121,Ameen Al-Dakhil,BEL,DF,Burnley,22.0,2002.0,11.7,1.0,8.0,3.0,37.5,0.68,0.26,0.13,0.33,16.0,0.0,0.0,0.0,1.3,1.3,0.16,-0.3,-0.3,Matches,July
125,122,Diogo Dalot,POR,DF,Manchester Utd,25.0,1999.0,28.3,1.0,24.0,4.0,16.7,0.85,0.14,0.04,0.25,21.1,0.0,0.0,0.0,1.0,1.0,0.04,0.0,0.0,Matches,August
126,123,Mikkel Damsgaard,DEN,MF,Brentford,23.0,2000.0,5.4,0.0,6.0,3.0,50.0,1.1,0.55,0.0,0.0,16.3,1.0,0.0,0.0,0.8,0.8,0.13,-0.8,-0.8,Matches,November
127,124,Danilo,BRA,MF,Nott'ham Forest,22.0,2001.0,14.4,1.0,16.0,4.0,25.0,1.11,0.28,0.06,0.25,22.1,0.0,0.0,0.0,0.7,0.7,0.05,0.3,0.3,Matches,September
128,125,Arnaut Danjuma,NED,"MF,FW",Everton,27.0,1997.0,6.6,1.0,25.0,9.0,36.0,3.78,1.36,0.04,0.11,16.0,1.0,0.0,0.0,2.6,2.6,0.1,-1.6,-1.6,Matches,June
129,Rk,Player,N,Pos,Squad,,,,,,,,,,,,,,,,,,,,,Matches,
130,126,Jayden Danns,ENG,FW,Liverpool,18.0,2006.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,June
131,127,Josh Dasilva,ENG,"DF,FW",Brentford,25.0,1998.0,0.3,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,March
132,128,David Datro Fofana,CIV,FW,Burnley,21.0,2002.0,8.3,4.0,16.0,9.0,56.3,1.93,1.09,0.25,0.44,14.8,0.0,0.0,0.0,3.7,3.7,0.23,0.3,0.3,Matches,May
133,129,Ben Davies,WAL,DF,Tottenham,30.0,1993.0,11.1,1.0,12.0,2.0,16.7,1.08,0.18,0.08,0.5,11.8,0.0,0.0,0.0,2.3,2.3,0.19,-1.3,-1.3,Matches,September
134,130,Tom Davies,ENG,MF,Sheffield Utd,25.0,1998.0,2.5,0.0,4.0,1.0,25.0,1.63,0.41,0.0,0.0,15.4,0.0,0.0,0.0,0.4,0.4,0.09,-0.4,-0.4,Matches,November
135,131,Craig Dawson,ENG,DF,Wolves,33.0,1990.0,24.5,1.0,16.0,5.0,31.3,0.65,0.2,0.06,0.2,11.2,0.0,0.0,0.0,1.5,1.5,0.09,-0.5,-0.5,Matches,October
