,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Birth Month
547,527,Bart Verbruggen,NED,GK,Brighton,21.0,2002.0,16.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,January
548,528,Guglielmo Vicario,ITA,GK,Tottenham,27.0,1996.0,31.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,March
549,529,Fabio Vieira,POR,"MF,FW",Arsenal,23.0,2000.0,3.2,1.0,5.0,1.0,20.0,1.56,0.31,0.0,0.0,18.3,0.0,1.0,1.0,1.2,0.4,0.08,-0.2,-0.4,Matches,October
550,530,Carlos Vinícius,BRA,FW,Fulham,29.0,1995.0,3.5,2.0,9.0,5.0,55.6,2.57,1.43,0.22,0.4,10.9,0.0,0.0,0.0,1.6,1.6,0.18,0.4,0.4,Matches,August
551,531,Vitinho,BRA,"DF,MF",Burnley,24.0,1999.0,21.2,0.0,17.0,2.0,11.8,0.8,0.09,0.0,0.0,18.9,0.0,0.0,0.0,1.2,1.2,0.07,-1.2,-1.2,Matches,December
552,532,Odisseas Vlachodimos,GRE,GK,Nott'ham Forest,29.0,1994.0,5.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,September
553,533,Kyle Walker,ENG,DF,Manchester City,33.0,1990.0,25.1,0.0,16.0,3.0,18.8,0.64,0.12,0.0,0.0,29.4,1.0,0.0,0.0,0.4,0.4,0.02,-0.4,-0.4,Matches,October
554,534,Aaron Wan-Bissaka,ENG,DF,Manchester Utd,26.0,1997.0,12.8,0.0,2.0,1.0,50.0,0.16,0.08,0.0,0.0,24.5,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,Matches,April
555,535,Joel Ward,ENG,DF,Crystal Palace,34.0,1989.0,21.8,0.0,10.0,0.0,0.0,0.46,0.0,0.0,,18.0,0.0,0.0,0.0,0.9,0.9,0.09,-0.9,-0.9,Matches,April
556,536,James Ward-Prowse,ENG,MF,West Ham,29.0,1994.0,28.9,6.0,36.0,13.0,36.1,1.25,0.45,0.11,0.31,22.8,13.0,2.0,2.0,5.7,4.1,0.12,0.3,-0.1,Matches,April
557,537,Deivid Washington,BRA,DF,Chelsea,18.0,2005.0,0.1,0.0,1.0,0.0,0.0,9.0,0.0,0.0,,9.0,0.0,0.0,0.0,0.5,0.5,0.47,-0.5,-0.5,Matches,October
558,538,Ollie Watkins,ENG,FW,Aston Villa,28.0,1995.0,30.0,18.0,91.0,42.0,46.2,3.03,1.4,0.2,0.43,12.5,0.0,0.0,0.0,15.0,15.0,0.17,3.0,3.0,Matches,May
559,539,Adam Webster,ENG,DF,Brighton,29.0,1995.0,8.5,0.0,5.0,0.0,0.0,0.59,0.0,0.0,,10.6,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,Matches,June
560,540,Danny Welbeck,ENG,"FW,MF",Brighton,33.0,1990.0,13.4,4.0,34.0,13.0,38.2,2.53,0.97,0.12,0.31,15.3,1.0,0.0,0.0,4.0,4.0,0.12,0.0,0.0,Matches,May
561,541,Timo Werner,GER,FW,Tottenham,28.0,1996.0,7.7,2.0,25.0,6.0,24.0,3.27,0.78,0.08,0.33,14.1,0.0,0.0,0.0,3.2,3.2,0.13,-1.2,-1.2,Matches,August
562,542,Adam Wharton,ENG,MF,Crystal Palace,19.0,2004.0,7.9,0.0,3.0,0.0,0.0,0.38,0.0,0.0,,23.4,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,Matches,October
563,543,Ben White,ENG,DF,Arsenal,26.0,1997.0,26.7,2.0,8.0,4.0,50.0,0.3,0.15,0.25,0.5,13.7,0.0,0.0,0.0,0.7,0.7,0.09,1.3,1.3,Matches,March
564,544,Joe White,ENG,MF,Newcastle Utd,21.0,2002.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,February
565,545,Neco Williams,WAL,DF,Nott'ham Forest,22.0,2001.0,15.8,0.0,9.0,1.0,11.1,0.57,0.06,0.0,0.0,21.8,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,Matches,September
566,546,Willian,BRA,FW,Fulham,35.0,1988.0,20.4,4.0,41.0,15.0,36.6,2.01,0.74,0.05,0.13,20.6,2.0,2.0,2.0,4.9,3.4,0.08,-0.9,-1.4,Matches,January
